nome.empresa,setor.1,setor.2,setor.3,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
NORTEC QUÍMICA S.A.,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,123935e3,1737e3,-688e3,0,TRUE
NOTRE DAME INTERMEDICA PARTICIPACOES SA,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,2449914e3,102842e3,224136e3,NA,TRUE
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,Materiais Básicos,Químicos,Fertilizantes e Defensivos,-23023e3,-1397e3,-986e3,32.014,TRUE
OCTANTE SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,365e3,74e3,-58e3,0,TRUE
ODONTOPREV S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,1117812e3,97683e3,74393e3,NA,TRUE
OI S.A.,Telecomunicações,Telecomunicações,Telecomunicações,27430093e3,678763e3,-497499e3,NA,TRUE
OMEGA GERAÇÃO S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,198152e4,-23957e3,67507e3,NA,TRUE
OPPORTUNITY ENERGIA E PARTICIPACOES S.A.,Outros,Outros,Outros,25623e3,-3696e3,-42e3,23.88,TRUE
OSX BRASIL S.A.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços,-4118418e3,-104048e3,1451456e3,NA,TRUE
OURINVEST SECURITIZADORA SA,Não Classificados,Não Classificado,Não Classificados,795e3,-197e3,-525e3,826.755,TRUE
OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,450956e3,-5416e3,34268e3,NA,TRUE
OURO VERDE LOCACAO E SERVICO S.A.,Não Classificados,Não Classificado,Não Classificados,89187e3,-22249e3,-14656e3,NA,TRUE
PANATLANTICA S.A.,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,420237e3,6439e3,67008e3,832.841,TRUE
PARANA BCO S.A.,Financeiro,Intermediários Financeiros,Bancos,1421232e3,75746e3,22474e4,0,TRUE
PARANAPANEMA S.A.,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,573221e3,-38941e3,5698e3,NA,TRUE
PATRIA CIA SECURITIZADORA DE CRED IMOB,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,8e3,-75e3,-75e3,0,TRUE
PBG S/A,Bens Industriais,Construção e Engenharia,Produtos para Construção,34431e4,-17205e3,-21294e3,NA,TRUE
PDG COMPANHIA SECURITIZADORA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,22019e3,26e3,-374e3,0,TRUE
PDG REALTY S.A. EMPREEND E PARTICIPACOES,Consumo Cíclico,Construção Civil,Incorporações,-424901e4,-244657e3,68086e3,NA,TRUE
PETRO RIO S.A.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,1032595e3,-53678e3,44927e3,NA,TRUE
PETROBRAS DISTRIBUIDORA S/A,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,10163e6,477e6,1084e6,NA,TRUE
PETROLEO BRASILEIRO S.A. PETROBRAS,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,289031e6,424e7,17749e6,NA,TRUE
PETTENATI S.A. INDUSTRIA TEXTIL,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,240264504,22616880,22533362,NA,FALSE
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,-123048e3,-5767e4,-5686e3,NA,TRUE
POLO CAPITAL SECURITIZADORA S.A,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,748e3,-52e3,-59e3,0,TRUE
POLPAR S.A.,Outros,Outros,Outros,42419e3,-62e3,-25e3,0,TRUE
POMIFRUTAS S/A,Consumo não Cíclico,Agropecuária,Agricultura,-68246e3,318e3,-726e3,612.122,TRUE
PORTO SEGURO S.A.,Financeiro,Previdência e Seguros,Seguradoras,754046e4,297508e3,-30785e3,NA,TRUE
PORTO SUDESTE V.M. S.A.,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,38484,-173053,-166149,0,FALSE
POSITIVO TECNOLOGIA S.A.,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,509219e3,-4595e3,8436e3,NA,TRUE
PPLA PARTICIPATIONS LTD.,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,1182e3,-2227e3,0,NA,TRUE
PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,40804e3,-475e3,437e3,NA,TRUE
PRINER SERVIÇOS INDUSTRIAIS S.A.,Bens Industriais,Serviços,Serviços Diversos,65624e3,-505e3,4273e3,0,TRUE
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,Utilidade Pública,Energia Elétrica,Energia Elétrica,11e5,0,779e3,45,TRUE
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,983149e3,-8513e3,-32626e3,NA,TRUE
PROMPT PARTICIPACOES S.A.,Outros,Outros,Outros,72824,-76751,-65304,6,FALSE
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,2451556e3,96888e3,286816e3,NA,TRUE
QUALITY SOFTWARE S.A.,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,38417831,511953,-2154060,861.605,FALSE
RAIA DROGASIL S.A.,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,3571437e3,90479e3,75125e3,NA,TRUE
RAIZEN ENERGIA S.A.,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,8338026e3,473022e3,2636573e3,NA,TRUE
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,Bens Industriais,Material de Transporte,Material Rodoviário,20609e5,41664e3,5779e4,NA,TRUE
RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,23997e3,1724e3,776e3,1,TRUE
RB CAPITAL SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,7739e3,-884e3,2255e3,0,TRUE
REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,5655e3,1101e3,11449e3,0,TRUE
RECRUSUL S.A.,Bens Industriais,Material de Transporte,Material Rodoviário,-6524e4,-145e4,-3003e3,NA,TRUE
REDE ENERGIA PARTICIPAÇÕES S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,5209388e3,283138e3,596392e3,NA,TRUE
REFINARIA DE PETROLEOS MANGUINHOS S.A.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,-2602643e3,-50182e3,3972e3,NA,TRUE
RENOVA ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,-258775e3,-182286e3,-2657e4,NA,TRUE
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,2213074e3,-13034e3,-45333e3,NA,TRUE
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,3897129e3,169786e3,577399e3,0,TRUE
RIO PARANAPANEMA ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,1724633e3,8905e4,147055e3,NA,TRUE
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,Consumo Cíclico,Construção Civil,Incorporações,615709e3,-10687e3,-14943e3,NA,TRUE
RODOVIAS DAS COLINAS S.A.,Bens Industriais,Transporte,Exploração de Rodovias,556627e3,42424e3,76152e3,NA,TRUE
ROSSI RESIDENCIAL S.A.,Consumo Cíclico,Construção Civil,Incorporações,-330213e3,-84828e3,28292e3,NA,TRUE
RUMO MALHA NORTE S.A.,Bens Industriais,Transporte,Transporte Ferroviário,367789e4,16332e4,397634e3,NA,TRUE
RUMO MALHA PAULISTA S.A.,Bens Industriais,Transporte,Transporte Ferroviário,-267353e3,-29395e3,190999e3,0,TRUE
RUMO S.A.,Bens Industriais,Transporte,Transporte Ferroviário,7790322e3,26895e3,521872e3,NA,TRUE
SALUS INFRAESTRUTURA PORTUARIA SA,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,-11346e3,-10851e3,-2043e3,4.2,TRUE
SANESALTO SANEAMENTO S.A.,Utilidade Pública,água e Saneamento,água e Saneamento,-444e3,391e3,4113e3,0,TRUE
SANSUY S.A. INDUSTRIA DE PLASTICOS,Materiais Básicos,Materiais Diversos,Materiais Diversos,-1102007e3,-48274e3,457e3,192.91,TRUE
SANTHER FAB DE PAPEL STA THEREZINHA S.A.,Materiais Básicos,Madeira e Papel,Papel e Celulose,28714e3,22095e3,11242e3,0,TRUE
SANTO ANTONIO ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,4117611e3,-76059e3,59849e3,0,TRUE
SANTOS BRASIL PARTICIPACOES S.A.,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,1337187e3,-9054e3,21893e3,NA,TRUE
SAO CARLOS EMPREEND E PARTICIPACOES S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,1414168e3,6089e3,1411e4,NA,TRUE
SAO MARTINHO S.A.,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,339101e4,314045e3,1680974e3,NA,TRUE
SAO PAULO TURISMO S.A.,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,17342e3,-22784e3,-6126e3,277.159,TRUE
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Consumo Cíclico,Comércio,Produtos Diversos,57088e3,-63842e3,-22576e3,NA,TRUE
SCHULZ S.A.,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,559067e3,18504e3,23104e3,NA,TRUE
SER EDUCACIONAL S.A.,Consumo Cíclico,Diversos,Serviços Educacionais,1526635e3,56092e3,1659e4,NA,TRUE
SIDERURGICA J. L. ALIPERTI S.A.,Consumo não Cíclico,Agropecuária,Agricultura,22922e4,-1681e3,-3103e3,9.166,TRUE
SINQIA S.A.,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,82915e3,-2341e3,-9323e3,NA,TRUE
SLC AGRICOLA S.A.,Consumo não Cíclico,Agropecuária,Agricultura,2896615e3,111381e3,-82378e3,NA,TRUE
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,1219667e3,-1002e3,129862e3,0,TRUE
SMILES FIDELIDADE S.A.,Consumo Cíclico,Diversos,Programas de Fidelização,1139849e3,141914e3,389124e3,NA,TRUE
SONAE SIERRA BRASIL S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,3937421e3,46984e3,37028e3,NA,TRUE
SONDOTECNICA ENGENHARIA SOLOS S.A.,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,61014e3,-98e3,-1258e3,884.008,TRUE
SPRINGER S.A.,Financeiro,Holdings Diversificadas,Holdings Diversificadas,38251e3,-2191e3,-295e3,317.644,TRUE
SPRINGS GLOBAL PARTICIPACOES S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,1481926e3,15938e4,-23603e3,NA,TRUE
STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,448345e3,14161e3,-20995e3,NA,TRUE
STATKRAFT ENERGIAS RENOVAVEIS S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,1244045e3,1755e4,4145e4,0,TRUE
SUDESTE S.A.,Outros,Outros,Outros,66923,-76490,-70091,3,FALSE
SUL 116 PARTICIPACOES S.A.,Outros,Outros,Outros,10861e3,-95e3,-45e3,0,TRUE
SUL AMERICA S.A.,Financeiro,Previdência e Seguros,Seguradoras,650811e4,22333e4,222708e3,NA,TRUE
SUZANO HOLDING S.A.,Materiais Básicos,Madeira e Papel,Papel e Celulose,20382296e3,-1230258e3,742033e3,0,TRUE
SUZANO S.A.,Materiais Básicos,Madeira e Papel,Papel e Celulose,20353352e3,-1229132e3,744336e3,NA,TRUE
T4F ENTRETENIMENTO S.A.,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,311331e3,-34285e3,64249e3,NA,TRUE
TARPON INVESTIMENTOS S.A.,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,59358e3,129e5,-17886e3,NA,TRUE
TAURUS ARMAS S.A.,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,-359933e3,4048e3,28616e3,NA,TRUE
TCP TERMINAL DE CONTEINERES DE PARANAGUA SA,Não Classificados,Não Classificado,Não Classificados,244432e3,-1497e3,36754e3,0,TRUE
TEC TOY S.A.,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,-13852e3,-2697e3,4226e3,NA,TRUE
TECHNOS S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,456157e3,-9931e3,7942e3,NA,TRUE
TECNISA S.A.,Consumo Cíclico,Construção Civil,Incorporações,780881e3,-1624e3,74612e3,NA,TRUE
TECNOSOLO ENGENHARIA S.A.,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,553e3,-582e3,45e3,NA,TRUE
TEGMA GESTAO LOGISTICA S.A.,Bens Industriais,Transporte,Transporte Rodoviário,511005e3,26621e3,55636e3,NA,TRUE
TEKA-TECELAGEM KUEHNRICH S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,-147097e4,-35846e3,3942e3,0,TRUE
TEKNO S.A. - INDUSTRIA E COMERCIO,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,172108e3,-1267e3,-2872e3,310.036,TRUE
TELEC BRASILEIRAS S.A. TELEBRAS,Telecomunicações,Telecomunicações,Telecomunicações,2529e5,-116885e3,-50879e3,NA,TRUE
TELEFÔNICA BRASIL S.A,Telecomunicações,Telecomunicações,Telecomunicações,72247696e3,1342142e3,3516599e3,NA,TRUE
TERMELÉTRICA PERNAMBUCO III S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,-238471e3,-19887e3,8034e3,0,TRUE
TERMINAL GARAGEM MENEZES CORTES S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,119567e3,1118e3,1897e3,0,TRUE
TERMOPERNAMBUCO S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,822613e3,30673e3,66482e3,0,TRUE
TERRA SANTA AGRO S.A.,Consumo não Cíclico,Agropecuária,Agricultura,956644e3,-5324e3,61425e3,NA,TRUE
TEXTIL RENAUXVIEW S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,-302078e3,10722e3,6239e3,NA,TRUE
TIM PARTICIPACOES S.A.,Telecomunicações,Telecomunicações,Telecomunicações,19919114e3,120034e3,295808e3,NA,TRUE
TOTVS S.A.,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,130701e4,12118e3,41495e3,NA,TRUE
TPI - TRIUNFO PARTICIP. E INVEST. S.A.,Bens Industriais,Transporte,Exploração de Rodovias,918089e3,-50627e3,89404e3,NA,TRUE
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,4731634e3,159582e3,185827e3,NA,TRUE
TREVISA INVESTIMENTOS S.A.,Bens Industriais,Transporte,Transporte Hidroviário,106875e3,1758e3,4066e3,NA,TRUE
TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.,Bens Industriais,Transporte,Exploração de Rodovias,405671e3,48426e3,73505e3,610,TRUE
TRISUL S.A.,Consumo Cíclico,Construção Civil,Incorporações,634e6,28949e3,27942e3,NA,TRUE
TRUE SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,3198e3,691e3,836e3,0,TRUE
TUPY S.A.,Bens Industriais,Material de Transporte,Material Rodoviário,218297e4,80442e3,-6161e3,NA,TRUE
ULTRAPAR PARTICIPACOES S.A.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,9929929e3,242553e3,462403e3,NA,TRUE
UNICASA INDÚSTRIA DE MÓVEIS S.A.,Consumo Cíclico,Utilidades Domésticas,Móveis,174239e3,2973e3,11297e3,NA,TRUE
UNIDAS S.A.,Consumo Cíclico,Diversos,Aluguel de carros,1293411e3,46289e3,-182717e3,0,TRUE
UNIPAR CARBOCLORO S.A.,Materiais Básicos,Químicos,Químicos Diversos,1463524e3,56189e3,163449e3,NA,TRUE
UPTICK PARTICIPACOES S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,85704e3,3209e3,-31e3,0,TRUE
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,15766722e3,76278e3,53091e4,NA,TRUE
VALE S.A.,Materiais Básicos,Mineração,Minerais Metálicos,168260063e3,-6545616e3,8261387e3,NA,TRUE
VALID SOLUÇÕES S.A.,Bens Industriais,Serviços,Serviços Diversos,1101802e3,14093e3,43412e3,NA,TRUE
VERT COMPANHIA SECURITIZADORA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,114e4,-125e3,-351e3,0,TRUE
VIA VAREJO S.A.,Consumo Cíclico,Comércio,Eletrodomésticos,1958e6,-49e6,-1935e6,NA,TRUE
VIVER INCORPORADORA E CONSTRUTORA S.A.,Consumo Cíclico,Construção Civil,Incorporações,66512e3,-14823e3,-1636e4,NA,TRUE
VULCABRAS/AZALEIA S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,967995e3,26183e3,76825e3,NA,TRUE
WEG S.A.,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,7923152e3,308207e3,53268e3,NA,TRUE
WETZEL S.A.,Bens Industriais,Material de Transporte,Material Rodoviário,-177945e3,-7144e3,-2496e3,0,TRUE
WHIRLPOOL S.A.,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos,2550754e3,34855e4,111538e3,NA,TRUE
WILSON SONS LTD.,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,203213e4,23744e3,100288e3,NA,TRUE
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,Financeiro,Previdência e Seguros,Corretoras de Seguros,233498e3,5663e4,68669e3,NA,TRUE
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,Bens Industriais,Comércio,Material de Transporte,395292e3,6628e3,-2681e3,NA,TRUE
524 PARTICIPACOES S.A.,Outros,Outros,Outros,117e3,-75e3,-7e4,910,TRUE
