nome.empresa,setor.1,setor.2,setor.3,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,Utilidade Pública,Energia Elétrica,Energia Elétrica,11705069e3,357391e3,389988e3,NA,TRUE
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo,121107e4,96071e3,898e3,NA,TRUE
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,Consumo Cíclico,Construção Civil,Incorporações,5567989e3,614e5,102634e3,NA,TRUE
CYRELA COMMERCIAL PROPERT S.A. EMPR PART,Financeiro,Exploração de Imóveis,Exploração de Imóveis,1781094e3,17761e3,26364e3,NA,TRUE
DIAGNOSTICOS DA AMERICA S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,3472967e3,6788e4,-130535e3,NA,TRUE
DIBENS LEASING S.A. - ARREND.MERCANTIL,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,5395004e3,86428e3,10106933e3,0,TRUE
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,477291e3,13379e3,-15133e3,NA,TRUE
DIRECIONAL ENGENHARIA S.A.,Consumo Cíclico,Construção Civil,Incorporações,1366647e3,26754e3,17476e3,NA,TRUE
DOHLER S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,57374e4,2836e3,15346e3,NA,TRUE
DOMMO ENERGIA S.A.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,-397491e3,-40819e3,-1248e3,NA,TRUE
DTCOM - DIRECT TO COMPANY S.A.,Bens Industriais,Serviços,Serviços Diversos,4203e3,-2272e3,125e4,185.908,TRUE
DURATEX S.A.,Materiais Básicos,Madeira e Papel,Madeira,4670893e3,23898e3,91668e3,NA,TRUE
ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Não Classificados,Não Classificado,Não Classificados,694e3,-392e3,-1141e3,0,TRUE
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,Bens Industriais,Transporte,Exploração de Rodovias,1099369e3,137114e3,127249e3,0,TRUE
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Bens Industriais,Transporte,Exploração de Rodovias,726388e3,86069e3,153096e3,NA,TRUE
EDP - ENERGIAS DO BRASIL S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,9908718e3,346187e3,804257e3,NA,TRUE
EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,988245e3,63212e3,229575e3,NA,TRUE
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,127033e4,72921e3,201296e3,NA,TRUE
ELECTRO ACO ALTONA S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,160374e3,575e4,-8685e3,NA,TRUE
ELEKEIROZ S.A.,Materiais Básicos,Químicos,Petroquímicos,215256e3,29463e3,9478e3,NA,TRUE
ELEKTRO REDES S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,2414974e3,10616e4,80879e3,623.844,TRUE
ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Utilidade Pública,Energia Elétrica,Energia Elétrica,188637e3,-2957e3,-5e3,NA,TRUE
ELETRON S.A.,Outros,Outros,Outros,1207552e3,17406e3,-38e4,2,TRUE
ELETROPAULO METROP. ELET. SAO PAULO S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,2950031e3,69051e3,395537e3,NA,TRUE
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,889625e3,2077e4,42101e3,NA,TRUE
EMBRAER S.A.,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,1516518e4,-155884e3,-127739e4,NA,TRUE
EMPRESA CONC RODOV DO NORTE S.A.ECONORTE,Bens Industriais,Transporte,Exploração de Rodovias,-108418e3,-2985e3,7718e3,NA,TRUE
EMPRESA NAC COM REDITO PART S.A.ENCORPAR,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,21511e4,16863e3,-448e3,337.76,TRUE
ENAUTA PARTICIPAÇÕES S.A.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,3225347e3,50975e3,10715e4,NA,TRUE
ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,874838e3,98556e3,97964e3,421,TRUE
ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,Utilidade Pública,Energia Elétrica,Energia Elétrica,1865047e3,119024e3,348253e3,NA,TRUE
ENERGISA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,6312856e3,128774e3,604653e3,NA,TRUE
ENEVA S.A,Utilidade Pública,Energia Elétrica,Energia Elétrica,6427807e3,129401e3,247372e3,NA,TRUE
ENGIE BRASIL ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,6888325e3,56549e4,951477e3,NA,TRUE
EQUATORIAL ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,6735408e3,257742e3,-6781e4,NA,TRUE
ESTACIO PARTICIPACOES S.A.,Consumo Cíclico,Diversos,Serviços Educacionais,2835893e3,240797e3,200719e3,NA,TRUE
ETERNIT S.A.,Bens Industriais,Construção e Engenharia,Produtos para Construção,-13217e3,-25464e3,-36522e3,NA,TRUE
EUCATEX S.A. INDUSTRIA E COMERCIO,Materiais Básicos,Madeira e Papel,Madeira,12742e5,11349e3,58636e3,NA,TRUE
EVEN CONSTRUTORA E INCORPORADORA S.A.,Consumo Cíclico,Construção Civil,Incorporações,1859098e3,54142e3,-2518e3,NA,TRUE
EXCELSIOR ALIMENTOS S.A.,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,65533e3,16386e3,4199e3,NA,TRUE
EZ TEC EMPREEND. E PARTICIPACOES S.A.,Consumo Cíclico,Construção Civil,Incorporações,2655143e3,174e5,10382e3,NA,TRUE
FERREIRA GOMES ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,870822e3,-9807e3,24389e3,0,TRUE
FERROVIA CENTRO-ATLANTICA S.A.,Bens Industriais,Transporte,Transporte Ferroviário,4523421e3,-78232e3,190166e3,23,TRUE
FERTILIZANTES HERINGER S.A.,Materiais Básicos,Químicos,Fertilizantes e Defensivos,-713389e3,-91553e3,-12249e3,NA,TRUE
FINANCEIRA ALFA S.A.- CRED FINANC E INVS,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,910359e3,11315e3,96975e3,NA,TRUE
FINANSINOS S.A.- CREDITO FINANC E INVEST,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,1379e4,-249e3,-123e3,303.03,TRUE
FLEURY S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,1628523e3,92574e3,108262e3,NA,TRUE
FLEX GESTÃO DE RELACIONAMENTOS S.A.,Bens Industriais,Serviços,Serviços Diversos,6876e4,-2866e3,-3885e3,0,TRUE
FRAS-LE S.A.,Bens Industriais,Material de Transporte,Material Rodoviário,821987e3,-2518e3,19165e3,NA,TRUE
GAFISA S.A.,Consumo Cíclico,Construção Civil,Incorporações,449455e3,-46599e3,-31884e3,NA,TRUE
GAIA AGRO SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,1e5,-68e3,0,0,TRUE
GAIA SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,93e4,41e3,0,0,TRUE
GAMA PARTICIPACOES S.A.,Outros,Outros,Outros,1288e3,-43e3,-44e3,417,TRUE
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,10953e3,-2773e4,3757e4,NA,TRUE
GERDAU S.A.,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,26446351e3,452626e3,-388447e3,NA,TRUE
GOL LINHAS AEREAS INTELIGENTES S.A.,Bens Industriais,Transporte,Transporte Aéreo,-6651579e3,35206e3,406041e3,NA,TRUE
GP INVESTMENTS. LTD.,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,2437324e3,75454e3,-36385e3,NA,TRUE
GPC PARTICIPACOES S.A.,Materiais Básicos,Químicos,Petroquímicos,193266e3,593e4,-5387e3,NA,TRUE
GRAZZIOTIN S.A.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,505067067,6983061,4422421,NA,FALSE
GRENDENE S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,3425862e3,7652e4,247551e3,NA,TRUE
GRUPO SBF SA,Consumo Cíclico,Comércio,Produtos Diversos,187697e3,-4143e3,-215288e3,NA,TRUE
GUARARAPES CONFECCOES S.A.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,4930652e3,29312e3,-498238e3,NA,TRUE
